Slug,:draft,Logotype,Division,LockUp,Color,Optical-Size,®-Symbol,Image,Image:alt,SVG,PDF,PNG,JPEG
korte-hoffmann-i-l-c-no-r,false,KORTE HOFFMANN,I,C,,L,false,,"KORTE HOFFMANN I Logo, Größe L, Zentriert, ohne ®-Symbol",,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_L_Center_White_No-(R).pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_L_Center_White_No-(R).png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_L_Center_Color%20(Dark)_No-(R).jpg
korte-hoffmann-i-l-l,false,KORTE HOFFMANN,I,L,,L,true,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_L_Left_White.svg,"KORTE HOFFMANN I Logo, Größe L, Links",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_L_Left_White.svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_L_Left_White.pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_L_Left_White.png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_L_Left_Color%20(Dark).jpg
korte-hoffmann-i-l-l-no-r,false,KORTE HOFFMANN,I,L,,L,false,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_L_Left_White_No-(R).svg,"KORTE HOFFMANN I Logo, Größe L, Links, ohne ®-Symbol",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_L_Left_White_No-(R).svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_L_Left_White_No-(R).pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_L_Left_White_No-(R).png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_L_Left_Color%20(Dark)_No-(R).jpg
korte-hoffmann-i-l-r,false,KORTE HOFFMANN,I,R,,L,true,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_L_Right_White.svg,"KORTE HOFFMANN I Logo, Größe L, Rechts",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_L_Right_White.svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_L_Right_White.pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_L_Right_White.png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_L_Right_Color%20(Dark).jpg
korte-hoffmann-i-l-r-no-r,false,KORTE HOFFMANN,I,R,,L,false,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_L_Right_White_No-(R).svg,"KORTE HOFFMANN I Logo, Größe L, Rechts, ohne ®-Symbol",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_L_Right_White_No-(R).svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_L_Right_White_No-(R).pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_L_Right_White_No-(R).png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_L_Right_Color%20(Dark)_No-(R).jpg
korte-hoffmann-i-m-c,false,KORTE HOFFMANN,I,C,,M,true,,"KORTE HOFFMANN I Logo, Größe M, Zentriert",,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_M_Center_White.pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_M_Center_White.png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_M_Center_Color%20(Dark).jpg
korte-hoffmann-i-m-c-no-r,false,KORTE HOFFMANN,I,C,,M,false,,"KORTE HOFFMANN I Logo, Größe M, Zentriert, ohne ®-Symbol",,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_M_Center_White_No-(R).pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_M_Center_White_No-(R).png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_M_Center_Color%20(Dark)_No-(R).jpg
korte-hoffmann-i-m-l,false,KORTE HOFFMANN,I,L,,M,true,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_M_Left_White.svg,"KORTE HOFFMANN I Logo, Größe M, Links",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_M_Left_White.svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_M_Left_White.pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_M_Left_White.png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_M_Left_Color%20(Dark).jpg
korte-hoffmann-i-m-l-no-r,false,KORTE HOFFMANN,I,L,,M,false,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_M_Left_White_No-(R).svg,"KORTE HOFFMANN I Logo, Größe M, Links, ohne ®-Symbol",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_M_Left_White_No-(R).svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_M_Left_White_No-(R).pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_M_Left_White_No-(R).png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_M_Left_Color%20(Dark)_No-(R).jpg
korte-hoffmann-i-m-r,false,KORTE HOFFMANN,I,R,,M,true,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_M_Right_White.svg,"KORTE HOFFMANN I Logo, Größe M, Rechts",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_M_Right_White.svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_M_Right_White.pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_M_Right_White.png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_M_Right_Color%20(Dark).jpg
korte-hoffmann-i-m-r-no-r,false,KORTE HOFFMANN,I,R,,M,false,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_M_Right_White_No-(R).svg,"KORTE HOFFMANN I Logo, Größe M, Rechts, ohne ®-Symbol",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_M_Right_White_No-(R).svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_M_Right_White_No-(R).pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_M_Right_White_No-(R).png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_M_Right_Color%20(Dark)_No-(R).jpg
korte-hoffmann-i-s-c,false,KORTE HOFFMANN,I,C,,S,true,,"KORTE HOFFMANN I Logo, Größe S, Zentriert",,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_S_Center_White.pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_S_Center_White.png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_S_Center_Color%20(Dark).jpg
korte-hoffmann-i-s-c-no-r,false,KORTE HOFFMANN,I,C,,S,false,,"KORTE HOFFMANN I Logo, Größe S, Zentriert, ohne ®-Symbol",,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_S_Center_White_No-(R).pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_S_Center_White_No-(R).png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_S_Center_Color%20(Dark)_No-(R).jpg
korte-hoffmann-i-s-l,false,KORTE HOFFMANN,I,L,,S,true,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_S_Left_White.svg,"KORTE HOFFMANN I Logo, Größe S, Links",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_S_Left_White.svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_S_Left_White.pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_S_Left_White.png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_S_Left_Color%20(Dark).jpg
korte-hoffmann-i-s-l-no-r,false,KORTE HOFFMANN,I,L,,S,false,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_S_Left_White_No-(R).svg,"KORTE HOFFMANN I Logo, Größe S, Links, ohne ®-Symbol",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_S_Left_White_No-(R).svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_S_Left_White_No-(R).pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_S_Left_White_No-(R).png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_S_Left_Color%20(Dark)_No-(R).jpg
korte-hoffmann-i-s-r,false,KORTE HOFFMANN,I,R,,S,true,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_S_Right_White.svg,"KORTE HOFFMANN I Logo, Größe S, Rechts",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_S_Right_White.svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_S_Right_White.pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_S_Right_White.png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_S_Right_Color%20(Dark).jpg
korte-hoffmann-i-s-r-no-r,false,KORTE HOFFMANN,I,R,,S,false,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_S_Right_White_No-(R).svg,"KORTE HOFFMANN I Logo, Größe S, Rechts, ohne ®-Symbol",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_S_Right_White_No-(R).svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_S_Right_White_No-(R).pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_S_Right_White_No-(R).png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_S_Right_Color%20(Dark)_No-(R).jpg
korte-hoffmann-no-division-l-no-lockup,false,KORTE HOFFMANN,no-division,no-lockup,,L,true,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KORTE%20HOFFMANN/Korte-Hoffmann_L_White.svg,"KORTE HOFFMANN no-division Logo, Größe L",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KORTE%20HOFFMANN/Korte-Hoffmann_L_White.svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KORTE%20HOFFMANN/Korte-Hoffmann_L_White.pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KORTE%20HOFFMANN/Korte-Hoffmann_L_White.png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KORTE%20HOFFMANN/Korte-Hoffmann_L_Black.jpg
korte-hoffmann-no-division-l-no-lockup-no-r,false,KORTE HOFFMANN,no-division,no-lockup,,L,false,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KORTE%20HOFFMANN/Korte-Hoffmann_L_White_No-(R).svg,"KORTE HOFFMANN no-division Logo, Größe L, ohne ®-Symbol",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KORTE%20HOFFMANN/Korte-Hoffmann_L_White_No-(R).svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KORTE%20HOFFMANN/Korte-Hoffmann_L_White_No-(R).pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KORTE%20HOFFMANN/Korte-Hoffmann_L_White_No-(R).png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KORTE%20HOFFMANN/Korte-Hoffmann_L_Black_No-(R).jpg
korte-hoffmann-no-division-m-no-lockup,false,KORTE HOFFMANN,no-division,no-lockup,,M,true,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KORTE%20HOFFMANN/Korte-Hoffmann_M_White.svg,"KORTE HOFFMANN no-division Logo, Größe M",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KORTE%20HOFFMANN/Korte-Hoffmann_M_White.svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KORTE%20HOFFMANN/Korte-Hoffmann_M_White.pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KORTE%20HOFFMANN/Korte-Hoffmann_M_White.png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KORTE%20HOFFMANN/Korte-Hoffmann_M_Black.jpg
korte-hoffmann-no-division-m-no-lockup-no-r,false,KORTE HOFFMANN,no-division,no-lockup,,M,false,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KORTE%20HOFFMANN/Korte-Hoffmann_M_White_No-(R).svg,"KORTE HOFFMANN no-division Logo, Größe M, ohne ®-Symbol",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KORTE%20HOFFMANN/Korte-Hoffmann_M_White_No-(R).svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KORTE%20HOFFMANN/Korte-Hoffmann_M_White_No-(R).pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KORTE%20HOFFMANN/Korte-Hoffmann_M_White_No-(R).png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KORTE%20HOFFMANN/Korte-Hoffmann_M_Black_No-(R).jpg
korte-hoffmann-no-division-s-no-lockup,false,KORTE HOFFMANN,no-division,no-lockup,,S,true,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KORTE%20HOFFMANN/Korte-Hoffmann_S_White.svg,"KORTE HOFFMANN no-division Logo, Größe S",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KORTE%20HOFFMANN/Korte-Hoffmann_S_White.svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KORTE%20HOFFMANN/Korte-Hoffmann_S_White.pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KORTE%20HOFFMANN/Korte-Hoffmann_S_White.png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KORTE%20HOFFMANN/Korte-Hoffmann_S_Black.jpg
korte-hoffmann-no-division-s-no-lockup-no-r,false,KORTE HOFFMANN,no-division,no-lockup,,S,false,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KORTE%20HOFFMANN/Korte-Hoffmann_S_White_No-(R).svg,"KORTE HOFFMANN no-division Logo, Größe S, ohne ®-Symbol",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KORTE%20HOFFMANN/Korte-Hoffmann_S_White_No-(R).svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KORTE%20HOFFMANN/Korte-Hoffmann_S_White_No-(R).pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KORTE%20HOFFMANN/Korte-Hoffmann_S_White_No-(R).png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KORTE%20HOFFMANN/Korte-Hoffmann_S_Black_No-(R).jpg
