Slug,:draft,Logotype,Division,LockUp,Color,Optical-Size,®-Symbol,Image,Image:alt,SVG,PDF,PNG,JPEG
korte-hoffmann-ai-s-c,false,KORTE HOFFMANN,A+I,C,,S,true,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_S_Center_White.svg,"KORTE HOFFMANN A+I Logo, Größe S, Zentriert",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_S_Center_White.svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_S_Center_White.pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_S_Center_White.png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_S_Center_Color (Dark).jpg
korte-hoffmann-ai-s-c-no-r,false,KORTE HOFFMANN,A+I,C,,S,false,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_S_Center_White_No-(R).svg,"KORTE HOFFMANN A+I Logo, Größe S, Zentriert, ohne ®-Symbol",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_S_Center_White_No-(R).svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_S_Center_White_No-(R).pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_S_Center_White_No-(R).png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_S_Center_Color (Dark)_No-(R).jpg
korte-hoffmann-ai-s-l,false,KORTE HOFFMANN,A+I,L,,S,true,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_S_Left_White.svg,"KORTE HOFFMANN A+I Logo, Größe S, Links",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_S_Left_White.svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_S_Left_White.pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_S_Left_White.png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_S_Left_Color (Dark).jpg
korte-hoffmann-ai-s-l-no-r,false,KORTE HOFFMANN,A+I,L,,S,false,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_S_Left_White_No-(R).svg,"KORTE HOFFMANN A+I Logo, Größe S, Links, ohne ®-Symbol",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_S_Left_White_No-(R).svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_S_Left_White_No-(R).pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_S_Left_White_No-(R).png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_S_Left_Color (Dark)_No-(R).jpg
korte-hoffmann-ai-s-r,false,KORTE HOFFMANN,A+I,R,,S,true,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_S_Right_White.svg,"KORTE HOFFMANN A+I Logo, Größe S, Rechts",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_S_Right_White.svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_S_Right_White.pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_S_Right_White.png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_S_Right_Color (Dark).jpg
korte-hoffmann-ai-s-r-no-r,false,KORTE HOFFMANN,A+I,R,,S,false,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_S_Right_White_No-(R).svg,"KORTE HOFFMANN A+I Logo, Größe S, Rechts, ohne ®-Symbol",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_S_Right_White_No-(R).svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_S_Right_White_No-(R).pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_S_Right_White_No-(R).png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_S_Right_Color (Dark)_No-(R).jpg
korte-hoffmann-g-l-c,false,KORTE HOFFMANN,G,C,,L,true,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_L_Center_White.svg,"KORTE HOFFMANN G Logo, Größe L, Zentriert",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_L_Center_White.svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_L_Center_White.pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_L_Center_White.png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_L_Center_Color (Dark).jpg
korte-hoffmann-g-l-c-no-r,false,KORTE HOFFMANN,G,C,,L,false,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_L_Center_White_No-(R).svg,"KORTE HOFFMANN G Logo, Größe L, Zentriert, ohne ®-Symbol",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_L_Center_White_No-(R).svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_L_Center_White_No-(R).pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_L_Center_White_No-(R).png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_L_Center_Color (Dark)_No-(R).jpg
korte-hoffmann-g-l-l,false,KORTE HOFFMANN,G,L,,L,true,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_L_Left_White.svg,"KORTE HOFFMANN G Logo, Größe L, Links",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_L_Left_White.svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_L_Left_White.pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_L_Left_White.png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_L_Left_Color (Dark).jpg
korte-hoffmann-g-l-l-no-r,false,KORTE HOFFMANN,G,L,,L,false,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_L_Left_White_No-(R).svg,"KORTE HOFFMANN G Logo, Größe L, Links, ohne ®-Symbol",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_L_Left_White_No-(R).svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_L_Left_White_No-(R).pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_L_Left_White_No-(R).png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_L_Left_Color (Dark)_No-(R).jpg
